,Conservative,Balanced,Aggressive
Q4 2018 Sell-Off,-0.0075629624359540015,-0.08956335679009397,-0.12934908747999996
COVID Crash,-0.03823847720826001,-0.1990565283044049,-0.27408904726102
2022 Equity-Bond Sell-Off,-0.26212455716725125,-0.26934090888061424,-0.2764362760385717
