Time Horizon,Trading Days,Mean Final Value,Median Final Value,Probability of Loss,95% Value at Risk,95% Expected Shortfall
3 Months,63,10354.178081265976,10329.579247950576,0.3339,-0.08635743581481224,-0.1156447414684113
6 Months,126,10729.094428686249,10678.920571866784,0.2685,-0.10128460580843955,-0.14180465391408756
1 Year,252,11500.85098611296,11382.972589977797,0.193,-0.11157931001223316,-0.16436624087236418
3 Years,756,15176.948129641065,14672.935455351908,0.0719,-0.04703707979140702,-0.1406875004678342
5 Years,1260,20014.12826491421,18954.75875365346,0.0281,0.08517311629219586,-0.04629107420874638
