Metric,Value
Initial Portfolio Value,10000.0
Mean Final Value,11501.443717704715
Median Final Value,11383.803669994613
Probability of Loss,0.1929
95% Value at Risk,-0.11151018673775594
95% Expected Shortfall,-0.16431655988942642
