Portfolio,Strategy,Transaction Cost Rate,Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Total Transaction Costs
Conservative,Buy & Hold,0.00%,21379.995969302265,1.1292693398706506,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559,0.0
Conservative,Buy & Hold,0.05%,21379.995969302265,1.1292693398706506,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559,0.0
Conservative,Buy & Hold,0.10%,21379.995969302265,1.1292693398706506,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559,0.0
Conservative,Buy & Hold,0.25%,21379.995969302265,1.1292693398706506,0.09326094750137393,0.1125798065452305,0.8283985411176297,-0.2746333659588559,0.0
Conservative,Monthly Rebalancing,0.00%,17894.404954153288,0.7821335363587316,0.070545941922596,0.10658308854572171,0.6618868235586305,-0.2780997263100964,0.0
Conservative,Monthly Rebalancing,0.05%,17872.28193125774,0.7799302677320967,0.07038971038123698,0.10658343508246215,0.660418857083912,-0.2781926185320659,16.798284490000913
Conservative,Monthly Rebalancing,0.10%,17850.18591456784,0.777729688698376,0.07023349920151123,0.10658380219512033,0.6589509639835939,-0.2782855001279032,33.57438312135389
Conservative,Monthly Rebalancing,0.25%,17784.05957643903,0.7711440567582319,0.06976498780861884,0.10658502698641538,0.6545477332150098,-0.27856408116930764,83.76984158261963
Conservative,Quarterly Rebalancing,0.00%,18144.694427269686,0.8070602810580441,0.07230170587001084,0.1068938887844076,0.6763876465925462,-0.2787731555225743,0.0
Conservative,Quarterly Rebalancing,0.05%,18130.305570073288,0.8056272708503687,0.07220134951814106,0.10689433978306513,0.6754459559287127,-0.27882505322539597,10.945498616544631
Conservative,Quarterly Rebalancing,0.10%,18115.92766857471,0.8041953517388516,0.07210099938351622,0.1068948180820119,0.674504159108993,-0.2788769482329101,21.881938380245373
Conservative,Quarterly Rebalancing,0.25%,18072.8596182627,0.7999061330135984,0.0717999862806884,0.10689641677681848,0.6716781389463647,-0.27903261708451266,54.63697348201859
Conservative,Annual Rebalancing,0.00%,18112.1475964048,0.8038188880676029,0.07207460482060091,0.10603247103125514,0.6797408767296907,-0.27629452213615924,0.0
Conservative,Annual Rebalancing,0.05%,18104.302467029167,0.8030375785916404,0.07201981026157211,0.10603441786081276,0.6792116344346767,-0.27634178234365603,6.322997277035197
Conservative,Annual Rebalancing,0.10%,18096.460269457693,0.8022565610989281,0.07196501524473131,0.1060363930120016,0.6786822259843,-0.27638904255115215,12.643462456337685
Conservative,Annual Rebalancing,0.25%,18072.95125830247,0.7999152595974979,0.07180062744665561,0.10604248837941546,0.6770930081323258,-0.2765308231736414,31.58967382081714
Balanced,Buy & Hold,0.00%,31587.76053755025,2.1395064921528513,0.14450706541685232,0.160649712090534,0.8995164917283854,-0.28710820478720966,0.0
Balanced,Buy & Hold,0.05%,31587.76053755025,2.1395064921528513,0.14450706541685232,0.160649712090534,0.8995164917283854,-0.28710820478720966,0.0
Balanced,Buy & Hold,0.10%,31587.76053755025,2.1395064921528513,0.14450706541685232,0.160649712090534,0.8995164917283854,-0.28710820478720966,0.0
Balanced,Buy & Hold,0.25%,31587.76053755025,2.1395064921528513,0.14450706541685232,0.160649712090534,0.8995164917283854,-0.28710820478720966,0.0
Balanced,Monthly Rebalancing,0.00%,28654.4438672029,1.8479642437193728,0.13142262893531265,0.1481102651500307,0.8873296445873347,-0.27783026419528123,0.0
Balanced,Monthly Rebalancing,0.05%,28623.277595260435,1.844866628964973,0.13127737582689258,0.14811042905676208,0.8863479544481073,-0.2779097169452933,18.15051058603295
Balanced,Monthly Rebalancing,0.10%,28592.144773301752,1.841772338803373,0.1311321392738467,0.1481106050167693,0.8853663062074437,-0.27798916199148405,36.27814868542524
Balanced,Monthly Rebalancing,0.25%,28498.946653277446,1.832509380686259,0.1306965289302957,0.14811120521600216,0.8824216151620043,-0.278227450913623,90.52409126921575
Balanced,Quarterly Rebalancing,0.00%,29129.638205311494,1.8951937935240428,0.13362022773393423,0.14716949803727641,0.907934249392423,-0.2786878942863249,0.0
Balanced,Quarterly Rebalancing,0.05%,29108.484439179774,1.8930913213964264,0.1335230741971818,0.1471686938755702,0.9072790597032434,-0.27873563131890977,12.411628080742062
Balanced,Quarterly Rebalancing,0.10%,29087.345401146573,1.8909903130940426,0.13342592607375736,0.1471679070094633,0.9066237930881065,-0.2787833660320569,24.812959953308404
Balanced,Quarterly Rebalancing,0.25%,29024.016557413226,1.8846960613757222,0.13313451418148237,0.14716565018748323,0.9046575339549293,-0.2789265562556129,61.95525351481674
Balanced,Annual Rebalancing,0.00%,28855.616289612026,1.867958764237685,0.13235687179160127,0.14661507317404088,0.9027507808456074,-0.27789398909914587,0.0
Balanced,Annual Rebalancing,0.05%,28844.82616611978,1.8668863342148359,0.1323069085849753,0.14661612992268686,0.9024034985423701,-0.27793576965891453,7.098843785890293
Balanced,Annual Rebalancing,0.10%,28834.039564016755,1.8658142541827467,0.13225694520436249,0.1466172008608558,0.902056132758109,-0.277977550218683,14.195023288198817
Balanced,Annual Rebalancing,0.25%,28801.700876194373,1.862600113052185,0.1321070540183591,0.14662049880937056,0.9010135355638014,-0.278102891897989,35.46758422504509
Aggressive,Buy & Hold,0.00%,36691.64282167419,2.6430921571646033,0.1647718369424287,0.19480381058054064,0.8458347732079123,-0.2932839920970839,0.0
Aggressive,Buy & Hold,0.05%,36691.64282167419,2.6430921571646033,0.1647718369424287,0.19480381058054064,0.8458347732079123,-0.2932839920970839,0.0
Aggressive,Buy & Hold,0.10%,36691.64282167419,2.6430921571646033,0.1647718369424287,0.19480381058054064,0.8458347732079123,-0.2932839920970839,0.0
Aggressive,Buy & Hold,0.25%,36691.64282167419,2.6430921571646033,0.1647718369424287,0.19480381058054064,0.8458347732079123,-0.2932839920970839,0.0
Aggressive,Monthly Rebalancing,0.00%,35568.446398057,2.5315706289048223,0.16050735666838767,0.1882715552205964,0.8525311031734049,-0.28364069107122425,0.0
Aggressive,Monthly Rebalancing,0.05%,35544.91297786109,2.529234009120212,0.16041674291909835,0.18827174940612174,0.8520489315317443,-0.28369454337496436,12.575017562824502
Aggressive,Monthly Rebalancing,0.10%,35521.39492621969,2.5268989152705585,0.1603261354664116,0.18827194702408304,0.8515667788037657,-0.28374839211002656,25.14009907474295
Aggressive,Monthly Rebalancing,0.25%,35450.932883601745,2.5199027794996196,0.1600543508841059,0.18827256047247362,0.8501204343450072,-0.28390991690518874,62.77579803936614
Aggressive,Quarterly Rebalancing,0.00%,35872.21569015074,2.561731707573135,0.16167227661977202,0.18769603827347292,0.8613515666442341,-0.2839635833361529,0.0
Aggressive,Quarterly Rebalancing,0.05%,35856.24964784779,2.560146448396338,0.16161126574497797,0.18769542288599503,0.861029338169528,-0.2839967491437221,8.643141320180721
Aggressive,Quarterly Rebalancing,0.10%,35840.29041424453,2.558561865251425,0.16155025693702973,0.18769481268467086,0.8607070948115959,-0.28402991393992394,17.281739757753044
Aggressive,Quarterly Rebalancing,0.25%,35792.45353783845,2.5538121692482987,0.16136724291381888,0.18769301319812406,0.859740275699467,-0.2841294022604939,43.170298453440495
Aggressive,Annual Rebalancing,0.00%,35861.632102949734,2.560680869274233,0.16163183634271783,0.1874752860765974,0.8621500984224628,-0.2829718163976188,0.0
Aggressive,Annual Rebalancing,0.05%,35852.28551682174,2.559752852101913,0.1615961139382771,0.18747569703141617,0.8619576643643453,-0.2829886198513576,5.295603118673883
Aggressive,Annual Rebalancing,0.10%,35842.940990541494,2.558825039450693,0.16156039119425714,0.18747611455537636,0.8617651991423991,-0.28300542330509537,10.589812100081842
Aggressive,Annual Rebalancing,0.25%,35814.919767016894,2.556042828249282,0.16145322092432246,0.18747740654166398,0.8611876166979191,-0.2830558336663095,26.46407709219835
