Date,Conservative,Balanced,Aggressive
2018-01-03,0.0,0.0,0.0
2018-01-04,0.0,0.0,0.0
2018-01-05,0.0,0.0,0.0
2018-01-08,0.0,0.0,0.0
2018-01-09,-0.007153001128933578,-0.0022134019370991798,0.0
2018-01-10,-0.00781206767145326,-0.003525226371078105,-0.001640194299397102
2018-01-11,-0.002990801987641345,0.0,0.0
2018-01-12,0.0,0.0,0.0
2018-01-16,0.0,-0.001223900159209479,-0.0025606231065394836
2018-01-17,0.0,0.0,0.0
2018-01-18,-0.005406684381164872,-0.0026979188520667163,-0.0013435360875178048
2018-01-19,-0.005917832225483144,-0.0005490615053649339,0.0
2018-01-22,-0.0023911045552412746,0.0,0.0
2018-01-23,0.0,0.0,0.0
2018-01-24,-0.0009990905275331086,-0.0019676628279532427,-0.002451948978163365
2018-01-25,0.0,-0.0009328625480805597,-0.002306205168184028
2018-01-26,0.0,0.0,0.0
2018-01-29,-0.006415051676909367,-0.006062389967269377,-0.005886059112449549
2018-01-30,-0.013043923502262689,-0.01419010742214466,-0.014763597613095647
2018-01-31,-0.008300891896573237,-0.010942705685410559,-0.012262712417922317
2018-02-01,-0.01590287592220241,-0.01645547838325212,-0.016735028237687577
2018-02-02,-0.029298258374065078,-0.03402092789869182,-0.03638368599009534
2018-02-05,-0.03616651734781273,-0.05953588082372441,-0.07115343927325357
2018-02-06,-0.03483212076971509,-0.04680367562853682,-0.05293403213472603
2018-02-07,-0.04262243730514137,-0.054832021989093316,-0.061076997982092984
2018-02-08,-0.05407646615473327,-0.08104028445121936,-0.09451302465076283
2018-02-09,-0.052907592462939745,-0.07207337662931435,-0.0818193099991471
2018-02-12,-0.04544655627542371,-0.06041857495947889,-0.06813735880786997
2018-02-13,-0.04126263985872125,-0.05665607358277003,-0.064582200924451
2018-02-14,-0.0389274020677568,-0.04674878962056428,-0.050985357537220666
2018-02-15,-0.03283235733848111,-0.035814873904588596,-0.037666662018316144
2018-02-16,-0.031219029430337164,-0.036263724143254183,-0.03914127621504715
2018-02-20,-0.03696479143569875,-0.04023905351678647,-0.04223707789409881
2018-02-21,-0.044988946684290654,-0.045762927104612605,-0.04651552604768916
2018-02-22,-0.04234867103507545,-0.04424497176761921,-0.045558416432882054
2018-02-23,-0.03332703368313494,-0.030711140626680122,-0.029781267820512047
2018-02-26,-0.029161412750842053,-0.02204919296452057,-0.018866331997120178
