Number of Simulations,Mean Final Value,Median Final Value,Probability of Loss,95% Value at Risk,95% Expected Shortfall
1000,11536.287664668638,11336.321507680083,0.2,-0.11161553476185275,-0.16922263357713077
5000,11513.452667114008,11385.541001910755,0.1932,-0.11340001339141406,-0.16723392989172037
10000,11500.85098611296,11382.972589977797,0.193,-0.11157931001223316,-0.16436624087236418
25000,11490.423470579748,11367.284611185267,0.19664,-0.11169956205135315,-0.16480603558597054
