Date,Conservative,Balanced,Aggressive
2018-01-03,,,
2018-01-04,,,
2018-01-05,,,
2018-01-08,,,
2018-01-09,,,
2018-01-10,,,
2018-01-11,,,
2018-01-12,,,
2018-01-16,,,
2018-01-17,,,
2018-01-18,,,
2018-01-19,,,
2018-01-22,,,
2018-01-23,,,
2018-01-24,,,
2018-01-25,,,
2018-01-26,,,
2018-01-29,,,
2018-01-30,,,
2018-01-31,,,
2018-02-01,,,
2018-02-02,,,
2018-02-05,,,
2018-02-06,,,
2018-02-07,,,
2018-02-08,,,
2018-02-09,,,
2018-02-12,,,
2018-02-13,,,
2018-02-14,0.08786116203325292,0.1592438243596407,0.20330345270630967
2018-02-15,0.08916125534589715,0.1617471631476818,0.20623743312901258
2018-02-16,0.08908995988244556,0.16158698821717843,0.20620247451438883
2018-02-20,0.09027591371096179,0.16135372024375008,0.20548632548124118
2018-02-21,0.09271419203644281,0.1620348115354284,0.2057958145795459
2018-02-22,0.09160270945618759,0.16204769777622538,0.20581755869163512
2018-02-23,0.09631317313437872,0.16733543628328776,0.21126043829815946
2018-02-26,0.09605989011225388,0.16839524332247274,0.21280188034522748
2018-02-27,0.09595038275691965,0.16996617627538743,0.2149632374433428
2018-02-28,0.09576188598301968,0.17046214343136912,0.21592654258662813
2018-03-01,0.09564927741181811,0.17139099800719976,0.2177378780251161
2018-03-02,0.09474647621946859,0.17181188912459672,0.21865035630548632
2018-03-05,0.09504645610968583,0.1731657715668362,0.22050322934071348
2018-03-06,0.09504856128278798,0.17221324532945886,0.21924477506431653
2018-03-07,0.09377794137702243,0.17148442380109857,0.21868008272071982
2018-03-08,0.09486266167962594,0.17211834258903763,0.21917165722568996
2018-03-09,0.09470866452634293,0.17564062948766182,0.2244028994699344
2018-03-12,0.09503412223256197,0.17384227972954644,0.22174564340745342
2018-03-13,0.0935840528448312,0.17368272574180765,0.2224001604850414
2018-03-14,0.09240379280179159,0.1721131645642771,0.22098376845951773
2018-03-15,0.0911958831618772,0.17183237371609994,0.22086552767068113
2018-03-16,0.08883269854807133,0.17114406765423168,0.22049944419710174
2018-03-19,0.08135124143695764,0.1668081191868034,0.21725061382465985
2018-03-20,0.07889723693635434,0.1467723297384036,0.18827743207534525
2018-03-21,0.07933435780161399,0.14182549850809548,0.1802654049024589
2018-03-22,0.07617516558486721,0.1473645225484771,0.19021044489151542
2018-03-23,0.06850957008780091,0.13028041814707117,0.1695093936274093
2018-03-26,0.07209973255622992,0.14183955913073149,0.1841419460216373
2018-03-27,0.06948178446758659,0.14483754563927137,0.19037404830577728
2018-03-28,0.06922182031059713,0.1452371217685903,0.1909416090611164
2018-03-29,0.07165264493363097,0.14599103946855654,0.19057187112850266
2018-04-02,0.07033696237454987,0.14842594650547822,0.19507614388307293
2018-04-03,0.07031971676889742,0.14991183320667326,0.1980266975336197
2018-04-04,0.06860236489093842,0.15207249881895302,0.20135854654712598
2018-04-05,0.06429160861251342,0.15149194253401232,0.20184172425919109
2018-04-06,0.06394230978290659,0.1564358579953443,0.20991176258343391
2018-04-09,0.058518920426987656,0.15098205855534375,0.20422876303484258
2018-04-10,0.05895239940037764,0.153614802844388,0.20783446317767273
2018-04-11,0.05564632659606985,0.1512011554791306,0.20567307484005506
2018-04-12,0.05656470093353751,0.15127760733519605,0.2063730790071735
2018-04-13,0.056383120637844085,0.14875804058756362,0.20281737501440145
2018-04-16,0.056680014501777114,0.14932339752918866,0.20314922649939218
2018-04-17,0.05868977803146355,0.15151426110341418,0.2052906401607409
2018-04-18,0.059171643833853135,0.15119710350712384,0.20503463290297563
2018-04-19,0.062195037838091626,0.15250410445035797,0.2059913198514158
2018-04-20,0.06595910524806665,0.154626784629471,0.20779359857768956
2018-04-23,0.06566273729634653,0.15023737577151824,0.201403763059754
2018-04-24,0.06687214456596528,0.15324491742516735,0.20501137216013338
2018-04-25,0.06752555938559697,0.1528132291785202,0.20430431680049743
2018-04-26,0.07023713753488828,0.15726680192105996,0.20909591332088612
2018-04-27,0.07202285161154323,0.1575940131564179,0.20922016708478808
2018-04-30,0.07214251147055459,0.15817853533857432,0.20990825473972125
2018-05-01,0.07033284827973003,0.15486449916833994,0.2063034341653577
2018-05-02,0.07042107609484671,0.15531201432915126,0.2067115524243676
2018-05-03,0.07025087000134508,0.15534090955855603,0.20669419632053482
2018-05-04,0.07175314051023078,0.15226107592253613,0.20098041712038442
2018-05-07,0.0704133283569497,0.14519248508825924,0.19121918459717444
2018-05-08,0.06601105750791077,0.13086812361028488,0.1727114072113674
2018-05-09,0.06563377538853489,0.12365364669473554,0.1618281084011812
2018-05-10,0.0692596163400997,0.12444377496779493,0.16176795882507342
2018-05-11,0.0664866624460221,0.12053713385428749,0.15759409319139386
2018-05-14,0.06615699339684901,0.10986870162304986,0.14175294155405438
2018-05-15,0.07402258044457603,0.11372660760605022,0.14334046560756858
2018-05-16,0.07344654186325254,0.11146258143934272,0.14041353750418098
2018-05-17,0.07355092125973543,0.11163717115125223,0.14012206917573722
2018-05-18,0.07431468496441854,0.10320245081132864,0.1253615953180292
2018-05-21,0.07404692981699915,0.10323534499721722,0.12551765397704814
2018-05-22,0.07249161651422288,0.09715848659335317,0.11725268210608837
2018-05-23,0.07409852527553959,0.09770508017120734,0.11675740757645199
2018-05-24,0.07530066485548567,0.09716490807271194,0.11507187788660628
2018-05-25,0.07545389511702262,0.09693794444301229,0.11453340615108036
2018-05-29,0.07871271765043172,0.09593012457302397,0.11498058977642549
2018-05-30,0.07686000147187463,0.09195312477458611,0.11079153895441263
2018-05-31,0.07653811568355677,0.09247721126664492,0.11137558217467604
2018-06-01,0.07401228895764732,0.09208545092455084,0.11309811879611349
2018-06-04,0.06971032841954167,0.0861585494014696,0.10772762795637644
2018-06-05,0.06961331620094187,0.08581881306295906,0.10737463578673025
2018-06-06,0.06703920803522802,0.0760027040736357,0.09558996483176957
2018-06-07,0.0660761012742224,0.07599010421931747,0.09668694270741288
2018-06-08,0.0637726235969916,0.07027816549213566,0.09030218400255632
2018-06-11,0.06253862939370176,0.07020101169947802,0.09029313926975037
2018-06-12,0.06171894993279966,0.06704975702253367,0.08644675684687776
2018-06-13,0.06137579880862006,0.06741158147465905,0.08660687462324379
2018-06-14,0.062367904550014897,0.06590548355924607,0.08418710095688399
2018-06-15,0.06343485890678671,0.06730309481901993,0.08505723232716662
2018-06-18,0.061997112645674556,0.061267203805753914,0.07751856889975824
2018-06-19,0.062035997511398225,0.061389011558814384,0.07794889294124104
2018-06-20,0.0635227522047281,0.061223076219228685,0.07788790019070689
2018-06-21,0.06347879379725231,0.06157464722048585,0.07801800450476837
2018-06-22,0.059009077533037455,0.05630761958850464,0.07368811979349553
2018-06-25,0.06050308102461283,0.06713366039319726,0.08792907948898894
2018-06-26,0.05973741575399348,0.06727719890606552,0.08820808265404881
2018-06-27,0.04866200625257787,0.06298940126117891,0.0883444201106983
2018-06-28,0.04858540673512726,0.06384603203339739,0.08918582107875453
2018-06-29,0.047502562740684866,0.06331075216821973,0.08899370473122332
2018-07-02,0.047157330033440095,0.06328815940923653,0.0888153127401739
2018-07-03,0.0473122875229863,0.0626688228505832,0.08899692837713949
2018-07-05,0.048536140715746245,0.06602000448384919,0.09258512577510176
2018-07-06,0.04803574776760799,0.06869121757533275,0.09614321200247546
2018-07-09,0.046141789299587,0.06989780459835453,0.09828403381748017
2018-07-10,0.04591375684371736,0.06989491010263175,0.09819634571168047
2018-07-11,0.04042055631347169,0.07147660106441928,0.09793994506003209
2018-07-12,0.042171147545585166,0.07387019948120938,0.09986380086265181
2018-07-13,0.04129061919828771,0.0728529224304104,0.09888339175490164
2018-07-16,0.04218993014930273,0.07101227643659469,0.09514198262031101
2018-07-17,0.042067380843625074,0.07077203897230785,0.09452955639865573
2018-07-18,0.042011836698743976,0.070727247029666,0.09449977404150282
2018-07-19,0.04168865652083139,0.07060853097749006,0.09400733929981694
2018-07-20,0.04305595130379116,0.07100244922179491,0.09358519202922003
2018-07-23,0.04691244632813123,0.07114420797291773,0.09358006478260783
2018-07-24,0.04793596364390936,0.07190560331837922,0.09417749160481476
2018-07-25,0.048991663665995,0.07499665476519575,0.09793694696651302
2018-07-26,0.050720185024272106,0.07775981651353048,0.1008658926407722
2018-07-27,0.047497330009007056,0.07837805700543958,0.10315748377089273
2018-07-30,0.04816685859321817,0.08065238590691166,0.10588076794597781
2018-07-31,0.05061929339116201,0.08227769548745931,0.10717592086463179
2018-08-01,0.05264515609334828,0.08235532767685876,0.10677421980009158
2018-08-02,0.051862839307830914,0.08412738637201865,0.10880056207944973
2018-08-03,0.05352155445183067,0.08368252589065213,0.10716834702836595
2018-08-06,0.05352205701140027,0.08394433523264051,0.10752541799391467
2018-08-07,0.05188909720013752,0.07476062160801383,0.0950024856238059
2018-08-08,0.05196436122982267,0.07473025057372122,0.09501149057406168
2018-08-09,0.05294516931108855,0.07163715992910068,0.0894858223549974
2018-08-10,0.052927933850531156,0.0722306322915175,0.09132086667522377
2018-08-13,0.0549168865337593,0.07352502204521859,0.092266311430192
