,Beta vs SPY,Correlation vs SPY,Annualized Active Return,Tracking Error,Information Ratio
SPY Only,1.0004681647940075,0.9999999999999999,0.0,0.0,
60/40 Portfolio,0.5556952758893102,0.8670005251280213,-0.06433378557661296,0.10496639193725477,-0.6128988944868129
Equal Weight,0.5393883936091786,0.832878485382093,-0.02837998371742275,0.11195204425864014,-0.25350125498250975
Balanced,0.7382601413154561,0.9465204953312345,-0.015960240573716738,0.06966833655611526,-0.229088871109494
Risk Parity,0.39151746147620264,0.6784914122565509,-0.0502600255378352,0.14223161618436783,-0.3533674641838113
