,Annualized Return,Annualized Volatility,Sharpe Ratio,Weight GLD,Weight QQQ,Weight SPY,Weight TLT
Maximum Sharpe Portfolio,0.17093185199586708,0.1472312803119393,1.1609751109527358,0.5761339806143648,0.409758094216628,0.006255812210350011,0.007852112958657318
Minimum Volatility Portfolio,0.08092349548473028,0.10342694895118816,0.7824217605309205,0.26021028348347147,0.00046577274052364055,0.2980855031395016,0.44123844063650325
