Initial Value,Mean Final Value,95% VaR Return,95% VaR Dollar Loss,95% Expected Shortfall Return,95% Expected Shortfall Dollar Loss
10000,11500.85098611296,-0.11157931001223316,1115.7931001223317,-0.16436624087236418,1643.6624087236419
50000,57504.254930564806,-0.11157931001223316,5578.965500611658,-0.1643662408723642,8218.31204361821
100000,115008.50986112961,-0.11157931001223316,11157.931001223316,-0.1643662408723642,16436.62408723642
250000,287521.27465282404,-0.11157931001223316,27894.82750305829,-0.16436624087236418,41091.56021809104
