,Upside Capture,Downside Capture,Capture Ratio
SPY Only,1.0,1.0,1.0
60/40 Portfolio,0.5781781819556434,0.5758973077545471,1.0039605571520895
Equal Weight,0.5970654843590749,0.5586913810060083,1.0686856906293565
Balanced,0.7836397856785624,0.7633227793417088,1.026616533512042
Risk Parity,0.44969228662651806,0.41013418234661225,1.0964516150630783
