Date,GLD,QQQ,SPY,TLT
2018-01-02,125.1500015258789,150.0572509765625,235.954345703125,98.7292709350586
2018-01-03,124.81999969482422,151.51531982421875,237.44674682617188,99.20133209228516
2018-01-04,125.45999908447266,151.7803497314453,238.44752502441406,99.18562316894531
2018-01-05,125.33000183105469,153.30474853515625,240.0365447998047,98.9023666381836
2018-01-08,125.30999755859375,153.90122985839844,240.47552490234375,98.83939361572266
2018-01-09,124.7300033569336,153.9107208251953,241.0198211669922,97.51766967773438
2018-01-10,125.02999877929688,153.55091857910156,240.65113830566406,97.39968872070312
2018-01-11,125.44000244140625,154.60182189941406,242.4069061279297,97.8009033203125
2018-01-12,126.95999908447266,155.73800659179688,243.98712158203125,97.96609497070312
2018-01-16,127.16999816894531,155.29299926757812,243.15313720703125,98.37522888183594
2018-01-17,126.13999938964844,156.9688262939453,245.4707489013672,98.24144744873047
2018-01-18,125.86000061035156,156.99722290039062,245.0581817626953,97.3288345336914
2018-01-19,126.41999816894531,157.48951721191406,246.17308044433594,96.81748962402344
2018-01-22,126.6500015258789,159.1748809814453,248.17474365234375,96.91189575195312
2018-01-23,127.27999877929688,160.4908905029297,248.7014923095703,97.3288345336914
2018-01-24,128.8300018310547,159.44944763183594,248.6049346923828,96.80171966552734
2018-01-25,127.97000122070312,159.39266967773438,248.7102813720703,97.5963363647461
2018-01-26,128.07000732421875,161.83534240722656,251.5897674560547,97.23445892333984
2018-01-29,127.3499984741211,161.04946899414062,249.92172241210938,96.55787658691406
2018-01-30,126.80000305175781,159.7239532470703,247.3583221435547,95.99140930175781
2018-01-31,127.6500015258789,160.38671875,247.481201171875,96.55787658691406
2018-02-01,128.07000732421875,159.02340698242188,247.20022583007812,95.15840148925781
2018-02-02,126.38999938964844,155.85159301757812,241.81866455078125,94.27545166015625
2018-02-05,126.70999908447266,149.7069091796875,231.70526123046875,95.16633605957031
2018-02-06,125.37999725341797,153.67405700683594,236.27023315429688,94.57503509521484
2018-02-07,124.79000091552734,151.68572998046875,234.98861694335938,93.67628479003906
2018-02-08,124.9800033569336,145.285400390625,226.1744384765625,93.57380676269531
2018-02-09,124.7699966430664,147.79444885253906,229.57191467285156,92.98251342773438
2018-02-12,125.37000274658203,150.41700744628906,232.9430389404297,93.39242553710938
2018-02-13,126.08000183105469,151.19334411621094,233.52252197265625,93.81033325195312
2018-02-14,128.22999572753906,154.02432250976562,236.67413330078125,92.76964569091797
2018-02-15,128.3800048828125,156.8836669921875,239.6941375732422,93.0849838256836
2018-02-16,127.95999908447266,156.1829833984375,239.76429748535156,93.58960723876953
2018-02-20,126.23999786376953,156.49545288085938,238.26318359375,93.17959594726562
2018-02-21,125.66000366210938,156.0504608154297,237.07801818847656,92.03645324707031
2018-02-22,126.30000305175781,156.03143310546875,237.38523864746094,92.31238555908203
2018-02-23,126.13999938964844,159.22218322753906,241.16903686523438,93.13231658935547
2018-02-26,126.44999694824219,161.3335418701172,243.9696044921875,93.16386413574219
2018-02-27,125.12999725341797,159.33583068847656,240.92320251464844,93.02980041503906
2018-02-28,125.0,158.3132781982422,238.48268127441406,93.6211166381836
2018-03-01,124.72000122070312,155.728515625,235.0149688720703,94.26020812988281
2018-03-02,125.38999938964844,157.15818786621094,236.2264404296875,93.49394989013672
2018-03-05,125.18000030517578,158.9003448486328,238.9566650390625,93.2411117553711
2018-03-06,126.52999877929688,159.57247924804688,239.5624542236328,93.32801818847656
2018-03-07,125.72000122070312,159.94175720214844,239.4747314453125,93.22533416748047
2018-03-08,125.41999816894531,160.82225036621094,240.6334991455078,93.76250457763672
2018-03-09,125.54000091552734,163.94668579101562,244.8211212158203,93.14631652832031
2018-03-12,125.54000091552734,164.81773376464844,244.51380920410156,93.68352508544922
2018-03-13,125.77999877929688,162.5738525390625,242.93359375,94.15747833251953
2018-03-14,125.69999694824219,162.54541015625,241.6870574951172,94.98696899414062
2018-03-15,124.9000015258789,162.40341186523438,241.42364501953125,94.98696899414062
2018-03-16,124.5999984741211,161.9205322265625,241.6854248046875,94.64730834960938
2018-03-19,124.87000274658203,158.46580505371094,238.41529846191406,94.34709167480469
2018-03-20,124.30999755859375,158.98736572265625,238.8207550048828,93.96790313720703
2018-03-21,126.4800033569336,158.29510498046875,238.3624267578125,94.0705795288086
2018-03-22,125.9800033569336,154.3879852294922,232.4040985107422,95.00272369384766
2018-03-23,127.61000061035156,150.31959533691406,227.4504852294922,94.93167877197266
2018-03-26,128.27999877929688,155.90528869628906,233.67327880859375,94.5682601928711
2018-03-27,127.48999786376953,150.86016845703125,229.69815063476562,95.57943725585938
2018-03-28,125.7300033569336,149.124755859375,229.0194091796875,95.83224487304688
2018-03-29,125.79000091552734,151.8559112548828,231.94573974609375,96.29833984375
2018-04-02,127.26000213623047,147.4746551513672,226.9392852783203,96.48829650878906
2018-04-03,126.30000305175781,149.13426208496094,229.8479461669922,95.74415588378906
2018-04-04,126.44999694824219,151.48605346679688,232.30712890625,95.54623413085938
2018-04-05,125.80000305175781,152.34906005859375,234.14051818847656,94.83377075195312
2018-04-06,126.38999938964844,148.5368194580078,228.9224395751953,95.870849609375
2018-04-09,126.81999969482422,149.57994079589844,230.05068969726562,96.02920532226562
2018-04-10,127.12000274658203,152.88014221191406,233.70858764648438,95.8550033569336
2018-04-11,128.11000061035156,151.99818420410156,232.4834442138672,96.1954345703125
2018-04-12,126.62000274658203,153.82850646972656,234.39605712890625,95.49085235595703
2018-04-13,127.44999694824219,153.03184509277344,233.70858764648438,95.71251678466797
2018-04-16,127.62999725341797,154.1983184814453,235.62994384765625,95.74415588378906
2018-04-17,127.75,157.5175018310547,238.1509552001953,96.00546264648438
2018-04-18,127.8499984741211,157.8399200439453,238.32723999023438,95.23748779296875
2018-04-19,127.5999984741211,156.388916015625,237.00503540039062,94.46166229248047
2018-04-20,126.62999725341797,153.9137725830078,234.99542236328125,93.78083801269531
2018-04-23,125.62000274658203,153.52499389648438,234.96018981933594,93.80455017089844
2018-04-24,126.2300033569336,150.27223205566406,231.79586791992188,93.3770751953125
2018-04-25,125.41000366210938,150.45242309570312,232.3688507080078,92.75167083740234
2018-04-26,124.97000122070312,153.61981201171875,234.73104858398438,93.40084838867188
2018-04-27,125.5,153.7146759033203,234.95138549804688,94.1212387084961
2018-04-30,124.58999633789062,152.6240997314453,233.14443969726562,94.28750610351562
2018-05-01,123.70999908447266,154.3690643310547,233.55870056152344,93.94798278808594
2018-05-02,123.6500015258789,153.45864868164062,231.98977661132812,93.8447494506836
2018-05-03,124.27999877929688,153.43966674804688,231.4785614013672,94.26527404785156
2018-05-04,124.54000091552734,156.35101318359375,234.47537231445312,94.4080581665039
2018-05-07,124.56999969482422,157.65023803710938,235.26869201660156,94.25732421875
2018-05-08,124.58999633789062,157.48898315429688,235.26869201660156,94.1700668334961
2018-05-09,124.33000183105469,159.2054901123047,237.54273986816406,93.60674285888672
2018-05-10,125.18000030517578,160.85557556152344,239.763916015625,94.36048889160156
2018-05-11,125.0,160.70379638671875,240.4954833984375,94.59854125976562
2018-05-14,124.48999786376953,160.97886657714844,240.61007690429688,94.09868621826172
2018-05-15,122.4800033569336,159.19598388671875,238.9530487060547,93.02755737304688
