Parametric Final Value,Bootstrap Final Value
11741.281888631449,12014.997603263884
10941.487710539846,9886.484157619176
12437.969079878438,11765.310942231004
8361.969376793335,13289.688238295612
9605.145479385948,8601.592836569407
10367.410073786144,9851.506373370918
10453.640211373991,15688.660896516893
11289.156648233598,11892.350640630615
12340.948034953766,14148.905181307087
12224.859567490243,10126.016649434572
10785.62488129348,10475.069747636457
8892.41901458966,9329.903580354128
12225.09491431549,14571.800886469044
9278.773466386923,11215.708185961612
9762.771919610343,10443.786006614146
13301.341230640533,12407.81582206186
10824.972159793419,9900.269316526155
8454.594658784776,13789.834095147862
10898.274035730748,11107.56468801653
9605.046722719273,11463.496153481326
12980.065928858874,11620.965252866645
10942.368880654207,15362.92286767961
11300.163139507027,13271.695071421082
10877.509241981277,12057.192679579162
11882.504400320186,12217.791139926703
15673.429337073476,10866.304270843733
9094.12873995406,10059.67384357056
11425.66820856113,12385.686367943897
11688.365613892161,13789.679203353378
9091.064121099676,10748.832490002673
12244.388951032983,11332.805852081368
13758.91988990764,10558.932201013238
11000.14301066355,10364.187681222505
12719.66584443853,10832.633190343606
15194.527696044586,10990.402596486409
10113.555629484028,8516.694359836036
12352.491702539472,11061.896979225676
13000.637126437143,11025.225250975733
11245.676500263111,13810.98341805299
9099.937979910686,13498.239530114528
13003.460562633047,11830.071424238173
8539.368070759803,8253.162255328305
10962.351304341513,10715.597408871436
12683.16941987788,13980.929081637694
14045.66451082705,11109.132000632193
10924.29047638763,12031.466615330848
12549.07019135341,10027.271626493266
10265.629405397223,12462.045117746497
9752.567695408843,10412.830173780816
11062.668913099153,14202.855860564072
12215.536542722459,12842.065818253432
9956.244469251287,14891.173123361696
13066.684114485382,12812.387786728912
9856.423616365739,14673.14859958375
9710.56179035519,9809.287089467734
10717.273414209636,11657.6363754309
11529.169917527031,12195.644542031994
12886.57782593259,11710.66603799014
11562.411399237048,12504.853751328168
11262.196018436536,11875.062613684153
12463.19020422423,10299.5179937185
12809.231566575452,11134.852533157347
12737.283470506483,10298.010161948041
10772.388556758759,9645.898870870249
13300.483973685334,10414.419476814193
12403.195269994529,11739.678926688464
9606.425385670118,12335.625908751274
12983.17636374924,13442.9366934769
9485.754574871133,11481.79023612423
14727.675203258854,10693.725088761688
10245.180235054679,13073.476793320657
12348.794633916757,11666.642175527302
7031.6634203558915,10348.624547764975
11091.45643706883,11030.395293673593
11644.812921281793,12892.327248101576
9427.27748788452,11658.226912270482
10803.834275160762,11500.166688253781
10957.23848302301,12230.278525028114
11039.550171199991,11981.499562979754
10449.638433021886,13090.966412990523
10391.041645240653,13482.598633874517
9416.896933946075,13724.877762641616
11331.22851060184,11564.192548378567
12265.155230270235,12687.092444205164
12445.229478393307,9281.783418671155
12201.964290930931,11286.94727327034
8816.332177633523,13492.48196070129
11768.30433531472,10683.22871800589
11181.688171103748,12477.722505688607
11636.730074788746,8472.530787470865
10522.407807810956,10506.174140843252
10939.62437944759,10214.266661623675
9037.201308675558,10248.268755142042
11007.307061786028,14240.836273642139
10422.811599007471,12746.73216912626
9886.263863895423,11805.268739208934
10804.36069249759,12629.596019385925
12842.889328683385,11293.503822382896
11411.627140781326,14137.132267115348
15003.994056676256,13157.254705140553
11914.254273099059,10326.557575610697
10370.18670249234,10543.053891169791
11802.237709320105,11379.609578203335
12515.99006516056,11753.007782214963
10491.600906884882,15061.680203718126
10655.86975918065,11512.70492482617
10154.815722929645,11085.922200677927
12648.173547403112,8453.499215282996
8218.222730933192,15432.407194456724
12851.080735224785,12942.091104516669
9472.021818389594,11508.319353629013
10543.2895617448,8264.48662980784
10767.393330142093,12086.822680911462
9600.046284266924,12746.58410796296
10102.798102638553,11834.467562859005
12876.965448051742,10971.810679017519
11691.142126547158,9390.139025556571
14601.174066653677,15187.827921857857
16237.513109762003,10556.52217833355
11097.352403591283,13331.068446406247
11106.268050974486,12654.125454409155
7715.596314115686,9772.98932610546
16576.3844960894,12406.40376627277
11179.36601243183,11962.610936069039
10875.57365934291,14650.704919578397
13315.388317763534,11401.80111326083
