Final Value,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Maximum Drawdown,Total Transaction Costs,Portfolio,Strategy
31560.640609401507,2.1368117775694047,0.1443189015234887,0.160612944653512,0.8985508723149668,-0.28710825008075136,0.0,Custom Portfolio,Buy & Hold
28605.588231141213,1.8431091490904339,0.1311296502038204,0.14807765054583544,0.8855465340006254,-0.27783030993338065,0.0,Custom Portfolio,Monthly Rebalancing
29079.97438735604,1.8902583847585865,0.13332566014172476,0.14713712990715905,0.9061319887498888,-0.27868794401550445,0.0,Custom Portfolio,Quarterly Rebalancing
28813.1848268429,1.8637421728125942,0.13209457126614743,0.14658243251028413,0.9011623630743046,-0.27789404972920884,0.0,Custom Portfolio,Annual Rebalancing
