,Annualized Return,Annualized Volatility,Sharpe Ratio,Weight SPY,Weight QQQ,Weight TLT,Weight GLD
Maximum Sharpe Portfolio,0.16635820030689547,0.14447852460371524,1.151438947505819,0.011574052716429818,0.4197606780287301,0.0400013197888581,0.5286639494659819
Minimum Volatility Portfolio,0.08088002065654606,0.10360904418661795,0.780627032046228,0.2875037986146611,0.00621099055483026,0.4400078200818111,0.26627739074869766
