,Mean Final Value,Median Final Value,Probability of Loss,95% Value at Risk,95% Expected Shortfall
Parametric Monte Carlo,11510.475518966061,11382.702995985697,0.1936,-0.11358160015985709,-0.16738801686832003
Bootstrap Monte Carlo,11515.368718281614,11407.42609898355,0.1858,-0.11472776783449935,-0.17062953147230667
